Αγγέλης Κωνσταντίνος,Constantinos T. Angelis,KjwXtK8AAAAJ
Αδάμ Σταύρος,Stavros P. Adam,KBd8e4kAAAAJ
Βαρτζιώτης Φώτιος,Vartziotis. Fotios,EvYhBKQAAAAJ
Γιαννακέας Νικόλαος,Nikos Giannakeas,0cawcn0AAAAJ
Γκόγκος Χρήστος,Christos Gogos,iNX_7IsAAAAJ
Γλαβάς Ευριπίδης,E. Glavas,lJfsZGkAAAAJ
Δουμένης Γρηγόριος,Gregory Doumenis,tx3_DZQAAAAJ
Καρβέλης Πέτρος,Petros Karvelis,z_ZpXjgAAAAJ
Λιάγκου Βασιλική,Vasiliki Liagkou,UMEG7NIAAAAJ
Μαργαρίτη Σπυριδούλα,Spiridoula V. Margariti,us9XwhYAAAAJ
Στεργίου Ελευθέριος,E. Stergiou,TBPgMkkAAAAJ
Στύλιος Χρυσόστομος,Chrysostomos Stylios,uhQpWk8AAAAJ
Τζάλλας Αλέξανδρος,Alexandros T. Tzallas,Jrpqo_QAAAAJ
Τσούλος Ιωάννης,Ioannis Tsoulos,jot0KgkAAAAJ
Φουτσιτζή Γεωργία,Georgia Foutsitzi,YofEfbAAAAAJ
